======================================================================
  Matthew 10:28 - GRAMMATICAL ANALYSIS
======================================================================

Greek Text: καὶ μὴ φοβεῖσθε ἀπὸ τῶν ἀποκτεννόντων τὸ σῶμα, τὴν δὲ ψυχὴν μὴ δυναμένων ἀποκτεῖναι· φοβεῖσθε δὲ μᾶλλον τὸν δυνάμενον καὶ ψυχὴν καὶ σῶμα ἀπολέσαι ἐν γεέννῃ.

----------------------------------------------------------------------
WORD                 LEMMA           STRONG   PARSING
----------------------------------------------------------------------
καὶ                  καί             G2532    [CONJ]
μὴ                   μή              G3361    [PRT-N]
φοβεῖσθε             φοβέω           G5399    [V-PNM-2P] Pres M/P Impv Pl secondPers
ἀπὸ                  ἀπό             G575     [PREP]
τῶν                  ὁ               G3588    [T-GPM] Gen Pl M
ἀποκτεννόντων        ἀποκτείνω       G615     [V-PAP-GPM] Pres Act Ptcp Gen Pl M
τὸ                   ὁ               G3588    [T-ASN] Acc Sg N
σῶμα,                σῶμα            G4983    [N-ASN] Acc Sg N
τὴν                  ὁ               G3588    [T-ASF] Acc Sg F
δὲ                   δέ              G1161    [CONJ]
ψυχὴν                ψυχή            G5590    [N-ASF] Acc Sg F
μὴ                   μή              G3361    [PRT-N]
δυναμένων            δύναμαι         G1410    [V-PNP-GPM] Pres M/P Ptcp Gen Pl M
ἀποκτεῖναι·          ἀποκτείνω       G615     [V-AAN] Aor Act Inf
φοβεῖσθε             φοβέω           G5399    [V-PNM-2P] Pres M/P Impv Pl secondPers
δὲ                   δέ              G1161    [CONJ]
μᾶλλον               μᾶλλον          G3123    [ADV]
τὸν                  ὁ               G3588    [T-ASM] Acc Sg M
δυνάμενον            δύναμαι         G1410    [V-PNP-ASM] Pres M/P Ptcp Acc Sg M
καὶ                  καί             G2532    [CONJ]
ψυχὴν                ψυχή            G5590    [N-ASF] Acc Sg F
καὶ                  καί             G2532    [CONJ]
σῶμα                 σῶμα            G4983    [N-ASN] Acc Sg N
ἀπολέσαι             ἀπόλλυμι        G622     [V-AAN] Aor Act Inf
ἐν                   ἐν              G1722    [PREP]
γεέννῃ.              γέεννα          G1067    [N-DSF] Dat Sg F
----------------------------------------------------------------------
